Source #,Date,Time,"Time
Source","Obs
Window
(min)",Latitude,Longitude,"Location
Source",Info Source,Fire Behavior Observations,"Type
of
Fire","Residual
Fire?",SSI
TD-109,11/8/2025,8:49:00 AM,AVL,26,39.752233,-121.572483,AVL,TD,"fire both sides of Pentz Rd; east side of Pentz Rd more
involved",O,,
TD-122,11/8/2025,8:49:00 AM,AVL,48,39.751221,-121.572481,AVL,TD,flames hundreds of feet long coming out of canyon,V,,
TD-123,11/8/2025,8:49:00 AM,AVL,60,39.750897,-121.572404,AVL,TD,everything is on fire,O,,
TD-124,11/8/2025,8:49:00 AM,AVL,7,39.752548,-121.572516,AVL,TD,multiple spots on east side of Pentz Rd,S,,
TD-116,11/8/2025,8:50:00 AM,TD,10,39.774647,-121.579606,TD,TD,ember cast; tree in yard catches fire,S,,
PPD-02,11/8/2025,8:52:00 AM,PPD-02,0,39.778476,-121.579561,Radio,Radio,fire reaching Pentz Rd now (Ridgewood MHP),O,,
PPD-02,11/8/2025,8:52:00 AM,PPD-02,0,39.778476,-121.575146,Radio,Radio,east end of park is fully involved (Ridgewood MHP),R,,
TD-045,11/8/2025,8:53:00 AM,Inferred,0,39.780537,-121.575161,AVL,TD,fire impacts from southeast direction,V,,
TD-045,11/8/2025,8:53:00 AM,Inferred,97,39.780491,-121.575766,TD,TD,Embers falling around,O,,
TD-123,11/8/2025,8:53:00 AM,AVL,7,39.751717,-121.572767,AVL,TD,spot fires,S,,
PPD-02,11/8/2025,8:53:00 AM,PPD-02,0,39.780879,-121.579537,video,video,"fire reaching Pentz Rd, burning field",V,,
PPD-04,11/8/2025,8:53:00 AM,PPD-04,5,39.755718,-121.569681,video,video,"intense fire activity, possible structure involved",O,,
PPD-02,11/8/2025,8:53:00 AM,PPD-02,0,39.781369,-121.579551,video,video,trees along east side Pentz Rd torching,V,,
TD-079,11/8/2025,8:54:00 AM,AVL,0,39.73139,-121.574204,AVL,TD,"very defined wall of flame and smoke, flames both sides
of Pentz Rd",O,,
TD-015,11/8/2025,8:54:00 AM,AVL,4,39.767067,-121.576067,AVL,TD,spot fires all around; east side heavily involved,S,,
PPD-02,11/8/2025,8:54:00 AM,PPD-02,0,39.781369,-121.579551,video,video,"intense fire, falling tree debris impacting Pentz Rd",V,,
PPD-02,11/8/2025,8:54:00 AM,PPD-02,0,39.779573,-121.579685,video,video,"intense fire burning on east side of Pentz Rd; between
Merrill Rd and 6717 Pentz Rd",V,,
PPD-02,11/8/2025,8:54:00 AM,PPD-02,0,39.779573,-121.579685,video,video,traffic and roadway SB blocked by fire,V,,
PPD-02,11/8/2025,8:54:00 AM,PPD-02,0,39.779573,-121.579685,video,video,fire spotted to west side of Pentz Rd,S,,
TD-014,11/8/2025,8:55:00 AM,AVL,7,39.752393,-121.572412,AVL,TD,structures involved on both sides of Pentz Rd,R,,
TD-021,11/8/2025,8:55:00 AM,Radio Log,0,39.788403,-121.576135,Radio Log,Radio Log,spot fire,S,,
TD-043,11/8/2025,8:55:00 AM,Inferred,21,39.778869,-121.578982,TD,TD,"mobile homes are burning in Ridgeway MHP (NW
corner)",R,,
PPD-02,11/8/2025,8:55:00 AM,PPD-02,0,39.780005,-121.579643,video,video,fire actively spotting across Pentz Rd,S,,
TD-061,11/8/2025,8:56:00 AM,Radio Log,0,39.781479,-121.573042,AVL,TD,house is on fire,R,,
TD-045,11/8/2025,8:57:00 AM,AVL,13,39.780159,-121.576475,AVL,TD,"approximately 2.4 m × 3 m (8 ft × 10 ft) wood-frame
shed catches fire first, then catches eaves of house",R,,x
TD-060,11/8/2025,8:57:00 AM,AVL,6,39.753124,-121.572432,AVL,TD,spot fires starting. Heavy fire.,V,,
PPD-04,11/8/2025,8:57:00 AM,PPD-04,0,39.780502,-121.579592,Radio,Radio,fire has jumped the road and continuing westbound,O,,
PPD-04,11/8/2025,8:57:00 AM,PPD-04,0,39.776009,-121.580137,Radio,Radio,"spot fire, Ponderosa Elementary School",S,,
TD-079,11/8/2025,8:58:00 AM,AVL,6,39.753821,-121.572434,AVL,TD,"100 % of embers ignite spots, trees torching, vehicles
on fire",O,,
TD-067,11/8/2025,8:58:00 AM,PPD video,0,39.775306,-121.5797,TD,PPD video,"spot fire in shrub of front parking lot at ponderosa
elementary school",S,,
TD-043,11/8/2025,8:58:00 AM,Inferred,18,39.778925,-121.574873,TD,TD,"two end mobile homes are burning Ridgewood MHP
(NE corner)",R,,
TD-043,11/8/2025,8:58:00 AM,Inferred,18,39.778472,-121.57689,TD,TD,"mobile homes burning; pass through fire twice in
mobile home park to escape back to Pentz Rd
(Ridgewood Mobile Home Park)",R,,
PPD-02,11/8/2025,8:58:00 AM,PPD-02,0,39.776008,-121.580095,Radio,Radio,"Spot fire ponderosa school, large shrub in the front
parking lot",S,,
TD-085,11/8/2025,8:59:00 AM,AVL,0,39.777336,-121.577799,AVL,TD,"Ponderosa mobile home park burning; sending ember
showers",R,,
TD-085,11/8/2025,8:59:00 AM,AVL,40,39.778433,-121.578792,AVL,TD,all mobile homes on fire (Ridgewood MHP),R,,
TD-061,11/8/2025,9:00:00 AM,AVL,6,39.779389,-121.57323,TD,TD,large spot fire,S,,
TD-061,11/8/2025,9:00:00 AM,AVL,22,39.781731,-121.577049,TD,TD,homes on north side of Merrill are igniting,R,,
TD-015,11/8/2025,9:00:00 AM,AVL,5,39.762633,-121.574733,AVL,TD,spot fires all around,S,,
TD-129,11/8/2025,9:00:00 AM,AVL,8,39.746117,-121.572233,AVL,TD,"fire crossing Pentz Rd from east to west between
Stearns Rd and Pearson Rd",O,,
TD-016,11/8/2025,9:00:00 AM,TD,0,39.752369,-121.572747,TD,TD,"fire quickly spotting to west side of Pentz Rd, many
spots starting up",S,,
TD-016,11/8/2025,9:00:00 AM,Inferred,120,39.750918,-121.574006,TD,TD,fire threatening structures,O,,
TD-016,11/8/2025,9:00:00 AM,Inferred,120,39.753051,-121.574265,TD,TD,garage on structure igniting,R,,
TD-016,11/8/2025,9:00:00 AM,Inferred,120,39.75149,-121.575348,TD,TD,"spot fire in Pearson Rd drainage, chased out by fire",S,,
TD-021,11/8/2025,9:00:00 AM,Inferred,18,39.774029,-121.579626,TD,TD,"fire actively hitting/crossing Pentz Rd between Wagstaff
Rd and Bille Rd",O,,
TD-116,11/8/2025,9:00:00 AM,TD,23,39.769654,-121.58047,TD,TD,heavy ember cast,O,,
TD-043,11/8/2025,9:00:00 AM,"TD-085, TD-022",30,39.777779,-121.579642,TD,TD,pine trees igniting at intersection,V,,
TD-023,11/8/2025,9:00:00 AM,Inferred,180,39.788541,-121.576674,TD,TD,observed fire whirl form,O,,
TD-023,11/8/2025,9:00:00 AM,TD,0,39.788042,-121.577199,TD,TD,fence ignites; house and garage catch fire,R,,
TD-023,11/8/2025,9:00:00 AM,Inferred,180,39.788088,-121.577237,TD,TD,concern about structure collapsing as it burns,R,,
TD-103,11/8/2025,9:00:00 AM,Photo,0,39.755455,-121.571546,Photo,Photo,"fence and vegetation burning, threatening structure",O,,
VTD-23,11/8/2025,9:01:00 AM,Inferred,0,39.759349,-121.572781,video,video,first hot embers start landing on windshield,O,,
PPD-02,11/8/2025,9:01:00 AM,PPD-02,0,39.778583,-121.579579,Radio,Radio,fire threatening vehicles,O,,
TD-020,11/8/2025,9:02:00 AM,Inferred,0,39.757028,-121.571208,TD,TD,ember cast,O,,
911-208-1,11/8/2025,9:02:00 AM,911-208-1,0,39.757023,-121.57129,911-208-1,911-208-1,fire alarm,C,,
VTD-23,11/8/2025,9:03:00 AM,Inferred,20,39.760734,-121.573395,video,video,first spot fire,S,,
VTD-23,11/8/2025,9:03:00 AM,Inferred,20,39.760734,-121.573395,video,video,"multiple spot fires in area along Pentz Rd at Vineyard;
both sides road",S,,
TD-209,11/8/2025,9:03:00 AM,Photo,0,39.753452,-121.572392,Photo,Photo,"vegetation fire, burning surface and up ladder fuels
both sides of Pentz Rd",V,,
TD-079,11/8/2025,9:04:00 AM,AVL,32,39.765269,-121.574923,AVL,TD,"100 % of embers ignite spots, trees torching, vehicles
on fire, people's hair igniting, dangerous fire, flames
going sideways; tire on engine melting",O,,
911-210-1,11/8/2025,9:04:00 AM,911-210-1,0,39.758893,-121.570887,911-210-1,911-210-1,fire alarm,C,,
VTD-17,11/8/2025,9:05:00 AM,TD,0,39.758293,-121.571793,video,video,light embers start trickling down,O,,
VTD-17,11/8/2025,9:05:00 AM,Inferred,9,39.755064,-121.57237,video,video,fire burning on west side Pentz Rd,V,,
PPD-05,11/8/2025,9:05:00 AM,PPD-05,0,39.757758,-121.571137,video,video,light ember cast blowing from the West,O,,
911-216-1,11/8/2025,9:07:00 AM,911-216-1,0,39.775077,-121.581572,911-216-1,911-216-1,fence on fire,O,,
PPD-05,11/8/2025,9:08:00 AM,PPD-05,2,39.757758,-121.571137,video,video,"heavy ember shower, embers exploding and skittering
across pavement",O,,
PPD-05,11/8/2025,9:09:00 AM,PPD-05,0,39.757834,-121.571099,video,video,multiple spot fire ignition in mulch,S,,
TD-045,11/8/2025,9:10:00 AM,AVL,33,39.78019,-121.57604,AVL,TD,"Fire spread from neighbor's shed to fence to shed
[3 m × 4.6 m (10 ft × 15 ft) shed]",R,,
PPD-02,11/8/2025,9:10:00 AM,PPD-02,0,39.787945,-121.577869,video,video,spot fire,S,,
PPD-02,11/8/2025,9:10:00 AM,PPD-02,0,39.788858,-121.578773,video,video,multiple spot fires on north side of Apple View Way,S,,
911-221-2,11/8/2025,9:11:00 AM,911-221-2,0,39.766771,-121.575815,911-221-2,911-221-2,roadway blocked by fire,O,,
PPD-05,11/8/2025,9:11:00 AM,PPD-05,0,39.761954,-121.573972,Inferred,Radio,pretty involved fire in area,O,,
TD-015,11/8/2025,9:12:00 AM,AVL,11,39.766611,-121.576095,AVL,TD,fire through east side of Pentz Rd - structures on fire,R,,
TD-015,11/8/2025,9:12:00 AM,Inferred,9,39.766809,-121.575783,AVL,TD,"active fire; trees torching, and spot fires on west side of
Pentz Rd",V,,
PPD-05,11/8/2025,9:12:00 AM,PPD-05,0,39.757892,-121.571664,video,Radio,"FRH: firestorm, fire threatening all around all the
buildings including gas tanks and oxygen",O,,
TD-209,11/8/2025,9:14:00 AM,AVL,120,39.751393,-121.574283,AVL,TD,fire threatening structures,O,,
TD-129,11/8/2025,9:14:00 AM,Inferred,36,39.75239,-121.57542,TD,TD,"fire spotted behind (west) homes on Chaney Ln; spot
fire getting sucked back to the main fire to the east",S,,
TD-129,11/8/2025,9:14:00 AM,Inferred,36,39.751244,-121.574768,Imagery,TD,burning vegetation threatening structures,V,,
TD-090,11/8/2025,9:15:00 AM,AVL,7,39.757795,-121.572302,AVL,TD,fire on the west side of Pentz Rd by the hospital,V,,
TD-016,11/8/2025,9:15:00 AM,Inferred,192,39.757568,-121.57027,TD,TD,FRH: attic fire in structure,C,,
VTD-17,11/8/2025,9:15:00 AM,Inferred,8,39.75618,-121.572572,video,video,"surface fire burning all of west side of Pentz Rd at
southern hospital driveway",V,,
VTD-17,11/8/2025,9:15:00 AM,Inferred,8,39.753918,-121.572393,video,video,"active fires both sides of Pentz Rd between hospital and
Chaney Ln",O,,
VTD-17,11/8/2025,9:15:00 AM,Inferred,8,39.75094,-121.572532,video,video,southern extent of fire,O,,
TD-209,11/8/2025,9:16:00 AM,AVL,26,39.751694,-121.574025,AVL,"AVL, TD",fire threatening structures,O,,
911-230-5,11/8/2025,9:16:00 AM,911-230-5,0,39.766771,-121.575815,911-230-5,911-230-5,ambulances on fire,O,,
TD-109,11/8/2025,9:17:00 AM,AVL,45,39.756683,-121.570967,AVL,TD,FRH: HVAC is on fire,C,,
911-232-1,11/8/2025,9:17:00 AM,911-232-1,0,39.766778,-121.575835,911-232-1,911-232-1,ambulance on fire,O,,
PPD-02,11/8/2025,9:17:00 AM,PPD-02,0,39.785042,-121.579593,video,video,spot fire on west side Pentz Rd,S,,
PPD-02,11/8/2025,9:17:00 AM,PPD-02,0,39.784249,-121.579387,video,video,spot fire east side Pentz Rd,S,,
PPD-02,11/8/2025,9:17:00 AM,PPD-02,0,39.783437,-121.579502,video,video,spot fire east side Pentz Rd,S,,
TD-060,11/8/2025,9:18:00 AM,AVL,0,39.766885,-121.57589,AVL,TD,"ambulances just igniting, engine compartment fully
involved",O,,
TD-083,11/8/2025,9:19:00 AM,AVL,0,39.766667,-121.575717,AVL,TD,ambulance is burning,O,,
911-234-1,11/8/2025,9:19:00 AM,911-234-1,0,39.763874,-121.572729,911-234-1,911-234-1,house on fire,R,,
PPD-05,11/8/2025,9:19:00 AM,PPD-05,0,39.757895,-121.572366,video,Radio,fire has jumped westbound from our location,O,,
PPD-05,11/8/2025,9:19:00 AM,PPD-05,0,39.757655,-121.572453,video,video,spot fire on west side Pentz Rd,S,,
TD-069,11/8/2025,9:20:00 AM,Inferred,0,39.761614,-121.573449,TD,TD,structure catching fire,R,,
TD-069,11/8/2025,9:20:00 AM,Inferred,0,39.762837,-121.57483,TD,TD,structure on fire,R,,
PPD-05,11/8/2025,9:20:00 AM,PPD-05,0,39.756074,-121.572333,video,video,"Pentz Rd is inaccessible due to fire and fire engine
activity south of hospital",O,,
TD-015,11/8/2025,9:21:00 AM,Radio Log,0,39.766933,-121.57594,Radio Log,TD,Two ambulances catch on fire,O,,
PPD-05,11/8/2025,9:21:00 AM,PPD-05,0,39.762823,-121.574409,Radio,Radio,active flames against road,O,,
TD-123,11/8/2025,9:22:00 AM,AVL,25,39.752383,-121.5743,AVL,TD,fire coming from east and west,O,,
TD-086,11/8/2025,9:23:00 AM,AVL,0,39.746182,-121.572306,AVL,TD,wall of flames,O,,
TD-086,11/8/2025,9:23:00 AM,AVL,14,39.746186,-121.571265,TD,TD,heavy ember cast,V,,
TD-086,11/8/2025,9:23:00 AM,AVL,14,39.745893,-121.570686,TD,TD,structure on fire,R,,
TD-021,11/8/2025,9:23:00 AM,Inferred,0,39.770096,-121.579294,TD,TD,fire impacting Bille Rd,O,,
TD-038,11/8/2025,9:23:00 AM,Inferred,147,39.770217,-121.57859,TD,TD,homes igniting on east side Pentz Rd,R,,
VTD-23,11/8/2025,9:23:00 AM,Inferred,0,39.761637,-121.573849,video,video,multiple spot fires; dark; embers blowing from west,S,,
PPD-05,11/8/2025,9:23:00 AM,PPD-05,0,39.758015,-121.572137,video,video,spot fire,S,,
TD-069,11/8/2025,9:24:00 AM,PPD video,0,39.762869,-121.57438,TD,TD,"fire is burning on both sides of Pentz Rd; active flames
both sides of road; 2 lanes Pentz Rd NB",O,,
PPD-05,11/8/2025,9:24:00 AM,PPD-05,0,39.762823,-121.574409,Radio,Radio,active flames both sides of road Pentz Rd near Conifer,O,,
PPD-02,11/8/2025,9:25:00 AM,PPD-02,0,39.795239,-121.579635,video,video,home on fire,R,,
TD-015,11/8/2025,9:26:00 AM,AVL,64,39.766323,-121.576244,AVL,TD,fire threatening structures,O,,
TD-015,11/8/2025,9:26:00 AM,Inferred,64,39.76615,-121.576884,TD,TD,house catches fire,R,,
TD-015,11/8/2025,9:26:00 AM,Inferred,64,39.766743,-121.576323,TD,TD,pine needles in gutter catch fire,R,,
PPD-02,11/8/2025,9:26:00 AM,PPD-02,0,39.789712,-121.579474,video,video,spot fire against roadway; Pentz Rd near Apple View,S,,
VTD-23,11/8/2025,9:27:00 AM,Inferred,0,39.761773,-121.573921,video,video,active vegetation fire against roadway,V,,
PPD-02,11/8/2025,9:29:00 AM,PPD-02,0,39.781369,-121.579605,video,video,fire both sides of Pentz Rd at Merrill Rd,V,,
PPD-02,11/8/2025,9:29:00 AM,PPD-02,0,39.781537,-121.578928,video,video,small spots on north side Merrill Rd,S,,
PPD-02,11/8/2025,9:29:00 AM,PPD-02,0,39.781334,-121.578721,video,video,fire has consumed vegetation on south side Merrill Rd,V,x,
PPD-02,11/8/2025,9:29:00 AM,PPD-02,0,39.781223,-121.577017,video,video,structure fully involved,R,,
TD-089,11/8/2025,9:30:00 AM,Photo,0,39.76795,-121.577067,AVL,TD,structure fully involved,R,,
TD-009,11/8/2025,9:30:00 AM,AVL,2,39.74357,-121.572478,AVL,TD,fire blowing across Pentz Rd,O,,
PPD-02,11/8/2025,9:30:00 AM,PPD-02,0,39.782082,-121.577407,video,video,structure on fire,R,,
TD-124,11/8/2025,9:31:00 AM,AVL,6,39.757258,-121.570255,AVL,TD,"FRH: fire in corner in the eaves and gutters; landscaping
is on fire",C,,
PPD-02,11/8/2025,9:31:00 AM,PPD-02,0,39.781419,-121.580089,video,video,small spot in pine needles,S,,
PPD-02,11/8/2025,9:31:00 AM,PPD-02,0,39.781101,-121.580289,video,video,spot fire in yard,S,,
PPD-02,11/8/2025,9:31:00 AM,PPD-02,0,39.781414,-121.58139,video,video,spot fire at west end of Merrill Rd,S,,
PPD-05,11/8/2025,9:32:00 AM,PPD-05,0,39.757756,-121.572212,video,video,spot fire,S,,
TD-014,11/8/2025,9:33:00 AM,Radio Log,0,39.758933,-121.572683,AVL,Radio Log,fire has burned past hospital,O,,
PPD-05,11/8/2025,9:33:00 AM,PPD-05,0,39.758749,-121.571922,video,video,"detached garage burning good, past peak",R,,
PPD-05,11/8/2025,9:33:00 AM,PPD-05,0,39.762858,-121.57437,Radio,Radio,fire starting to impact vehicles,O,,
PPD-02,11/8/2025,9:33:00 AM,PPD-02,0,39.781575,-121.579407,video,video,vegetation burning; large spot,S,,
VTD-23,11/8/2025,9:34:00 AM,Inferred,3,39.752515,-121.572429,video,video,"heavy fire both sides of Pentz Rd; very hot, heavy
ember wash; most structures fully involved",R,,
TD-060,11/8/2025,9:35:00 AM,AVL,0,39.769717,-121.579117,AVL,TD,fire burning around intersection,O,,
TD-060,11/8/2025,9:35:00 AM,AVL,17,39.769252,-121.579192,AVL,TD,mobile homes beginning to ignite (Eden Roc Estates),R,,
TD-079,11/8/2025,9:36:00 AM,AVL,18,39.769867,-121.57935,AVL,TD,fire threatening structures,O,,
PPD-05,11/8/2025,9:36:00 AM,PPD-05,0,39.75786,-121.571753,video,video,"multiple spot fires igniting in vegetation all around
parking lot",S,,
VTD-23,11/8/2025,9:37:00 AM,Inferred,0,39.74916,-121.57248,video,video,southern edge of fire,O,,
PPD-05,11/8/2025,9:37:00 AM,PPD-05,0,39.757926,-121.571072,video,video,"FRH: HVAC support building flames showing from
second story",C,,
TD-122,11/8/2025,9:38:00 AM,AVL,0,39.747796,-121.572477,AVL,TD,fire has crossed Pentz Rd at Pearson Rd,O,,
TD-124,11/8/2025,9:38:00 AM,AVL,4,39.757917,-121.570564,AVL,TD,FRH: dumpsters on fire,O,,
TD-020,11/8/2025,9:38:00 AM,AVL TD-124,4,39.757952,-121.570552,TD,TD,FRH: fire in dumpster,O,,
VTD-21,11/8/2025,9:38:00 AM,Inferred,15,39.750413,-121.572531,video,video,"heavy fire, everything burning both sides of road; debris
in roadway; wind blowing to east, lots of embers; dark,
smoky, visibility 0 m to 60 m (0 ft to 200 ft)",R,,
VTD-21,11/8/2025,9:38:00 AM,Inferred,15,39.747756,-121.572415,video,video,intersection of Pentz Rd and Pearson Rd is fully involved,R,,
PPD-05,11/8/2025,9:39:00 AM,PPD-05,0,39.761632,-121.573828,VTD-23,video,fire north of hospital on both sides of Pentz Rd,O,,
TD-005,11/8/2025,9:42:00 AM,Photo,0,39.75506,-121.573043,Photo,Photo,"multiple structures on Fickett Ln are fully involved,
abundant spot fires on surface vegetation",R,,
TD-005,11/8/2025,9:43:00 AM,Photo,34,39.756577,-121.57207,AVL,TD,"FRH: One section of fence on fire; small spot fire against
building in alcoves of Birth Day Place",O,,
TD-045,11/8/2025,9:43:00 AM,AVL,30,39.780721,-121.576607,AVL,TD,"Structure starting to catch on D side. Can see fire
affecting houses on Merrill Rd",R,,
TD-085,11/8/2025,9:43:00 AM,AVL,36,39.78415,-121.579283,AVL,TD,"Beyond Fitness is igniting, Children's Community
Charter School is burning",C,,
TD-020,11/8/2025,9:43:00 AM,TD-005,34,39.756672,-121.571922,TD,TD,FRH: fence and patio at hospital Birth Day Place burning,O,,
TD-209,11/8/2025,9:44:00 AM,AVL,50,39.751311,-121.574426,AVL,"AVL, TD",fire threatening structures,O,,
TD-005,11/8/2025,9:44:00 AM,Photo,0,39.756763,-121.571943,Photo,Photo,"active fire in vegetation, torching juniper trees against
Birth Day Place, spewing firebrands",V,,
TD-090,11/8/2025,9:45:00 AM,AVL,55,39.760733,-121.573417,AVL,TD,vehicles being driven while on fire,O,,
TD-090,11/8/2025,9:45:00 AM,AVL,55,39.767474,-121.576503,TD,TD,"mobile home park burning; already consumed [could be
either MHP between FRH and Bille Rd]",R,x,
PPD-05,11/8/2025,9:49:00 AM,PPD-05,0,39.769679,-121.583588,Radio,Radio,"active flames, about 14 m (15 yd) from the roadway",V,,
TD-021,11/8/2025,9:50:00 AM,PPD video,0,39.769469,-121.583071,TD,TD,"fire impacting Bille Rd and vehicles abandoned/stuck on
road",O,,
TD-060,11/8/2025,9:52:00 AM,AVL,21,39.769467,-121.58075,AVL,TD,cars igniting on Bille Rd. Home catching fire.,R,,
TD-063,11/8/2025,9:53:00 AM,PPD video,7,39.751151,-121.572527,PPD video,"TD, PPD
video","everything on fire on Pentz Rd between hospital and
Chaney Ln",R,,
TD-079,11/8/2025,9:54:00 AM,AVL,19,39.769519,-121.580796,AVL,TD,pickup on fire a few hundred yards down Bille Rd,O,,
TD-103,11/8/2025,9:55:00 AM,Photo,0,39.75563,-121.571731,Photo,Photo,"structure fully involved; interior fire, flames through
roof; roof partially collapsed",C,,
TD-086,11/8/2025,9:57:00 AM,AVL,0,39.731332,-121.574204,AVL,TD,fire is burning north of Malibu Dr,O,,
PPD-05,11/8/2025,9:57:00 AM,PPD-05,0,39.756385,-121.572306,video,video,FRH: steady stream of explosions around the hospital,O,,
PPD-05,11/8/2025,9:59:00 AM,PPD-05,0,39.76286,-121.574108,Inferred,Radio,"street completely burnt on one side, dodging intense
fire",O,,
TD-021,11/8/2025,10:00:00 AM,TD,30,39.769267,-121.5791,TD,TD,Eden Roc Estates mobile homes ignite and burn quickly,R,,
TD-040,11/8/2025,10:00:00 AM,Inferred,60,39.778033,-121.580294,TD,TD,spot fires in grass field,S,,
TD-040,11/8/2025,10:00:00 AM,Inferred,60,39.781358,-121.579556,TD,TD,car half on fire,O,,
TD-020,11/8/2025,10:05:00 AM,TD-124,30,39.75642,-121.571413,TD,TD,FRH: fire at cancer center,C,,
PPD-05,11/8/2025,10:05:00 AM,PPD-05,0,39.763657,-121.574109,Radio,Radio,most houses are burnt down,R,x,
TD-124,11/8/2025,10:07:00 AM,AVL,27,39.756409,-121.571416,AVL,TD,FRH: fire in attic/ceiling of cancer building,C,,
TD-086,11/8/2025,10:07:00 AM,Inferred,113,39.725281,-121.564342,TD,TD,active fire,O,,
TD-109,11/8/2025,10:13:00 AM,AVL,76,39.761656,-121.568042,AVL,TD,homes on south side of retirement home are involved,R,,
TD-109,11/8/2025,10:13:00 AM,AVL,76,39.762085,-121.568911,AVL,TD,fire threatening structures,O,,
TD-060,11/8/2025,10:14:00 AM,AVL,0,39.77035,-121.579432,AVL,TD,fire threatening structures,O,,
TD-020,11/8/2025,10:15:00 AM,AVL TD-109,75,39.762061,-121.568979,TD,TD,"small fire on roof of main care facility of Canyon View
Dr",C,,
PPD-02,11/8/2025,10:16:00 AM,PPD-02,0,39.768937,-121.578861,Radio,Radio,"Eden Roc mobile home park is going up near Pentz Rd,
it’s not safe here",R,,
TD-079,11/8/2025,10:18:00 AM,AVL,5,39.788367,-121.5796,AVL,TD,"15 m × 15 m (50 ft × 50 ft) spot fire near Paradise Ridge
Southern Baptist Church",S,,
TD-005,11/8/2025,10:20:00 AM,AVL,32,39.762063,-121.568917,AVL,TD,"Bark mulch against building on fire; OSB under vinyl just
ignited, rapid fire growth",R,,
TD-103,11/8/2025,10:20:00 AM,Photo,0,39.75563,-121.571731,Photo,Photo,"building past peak, mostly collapsed; vehicle burning",C,,
